key,arxiv_id,bib_title,arxiv_title,arxiv_authors,overlap,verdict
lu2023mathvista,2310.02255,MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts,MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts,Pan Lu; Hritik Bansal; Tony Xia; Jiacheng Liu,1.00,ok
maimon2025iq,2507.20208,From Benchmarks to Skills: Low-Rank Factors for LLM Evaluation,From Benchmarks to Skills: Low-Rank Factors for LLM Evaluation,Aviya Maimon; Amir DN Cohen; Gal Vishne; Shauli Ravfogel,1.00,ok
malaviya2023expertqa,2309.07852,ExpertQA: Expert-Curated Questions and Attributed Answers,ExpertQA: Expert-Curated Questions and Attributed Answers,Chaitanya Malaviya; Subin Lee; Sihao Chen; Elizabeth Sieber,1.00,ok
maslej2025aiindex,2504.07139,Artificial intelligence index report 2025,Artificial Intelligence Index Report 2025,Nestor Maslej; Loredana Fattorini; Raymond Perrault; Yolanda Gil,1.00,ok
merali2024scaling,2409.02391,Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Translation,Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Translation,Ali Merali,1.00,ok
min2023factscore,2305.14251,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,Sewon Min; Kalpesh Krishna; Xinxi Lyu; Mike Lewis,1.00,ok
mirzadeh2024gsm,2410.05229,GSM-Symbolic: Understanding the Limitations of Mathematical Reasoning in Large Language Models,GSM-Symbolic: Understanding the Limitations of Mathematical Reasoning in Large Language Models,Iman Mirzadeh; Keivan Alizadeh; Hooman Shahrokhi; Oncel Tuzel,1.00,ok
miserendino2025swelancer,2502.12115,SWE-Lancer: Can Frontier LLMs Earn \$1 Million from Real-World Freelance Software Engineering?,SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering?,Samuel Miserendino; Michele Wang; Tejal Patwardhan; Johannes Heidecke,1.00,ok
morris2023levels,2311.02462,Levels of AGI for Operationalizing Progress on the Path to AGI,Levels of AGI for Operationalizing Progress on the Path to AGI,Meredith Ringel Morris; Jascha Sohl-Dickstein; Noah Fiedel; Tris Warkentin,1.00,ok
owen2024predictable,2401.04757,How Predictable Is Language-Model Benchmark Performance?,How predictable is language model benchmark performance?,David Owen,1.00,ok
payne2025strategic,2507.02618,Strategic Intelligence in Large Language Models: Evidence from evolutionary Game Theory,Strategic Intelligence in Large Language Models: Evidence from evolutionary Game Theory,Kenneth Payne; Baptiste Alloui-Cros,1.00,ok
peng2023developerproductivity,2302.06590,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,The Impact of AI on Developer Productivity: Evidence from GitHub Copilot,Sida Peng; Eirini Kalliamvakou; Peter Cihon; Mert Demirer,1.00,ok
phan2025textquests,2507.23701,TextQuests: How Good are LLMs at Text-Based Video Games?,TextQuests: How Good are LLMs at Text-Based Video Games?,Long Phan; Mantas Mazeika; Andy Zou; Dan Hendrycks,1.00,ok
polo2025sloth,2412.06540,Sloth: scaling laws for LLM skills to predict multi-benchmark performance across families,Sloth: scaling laws for LLM skills to predict multi-benchmark performance across families,Felipe Maia Polo; Seamus Somerstep; Leshem Choshen; Yuekai Sun,1.00,ok
renze2024effect,2402.05201,The Effect of Sampling Temperature on Problem Solving in Large Language Models,The Effect of Sampling Temperature on Problem Solving in Large Language Models,Matthew Renze; Erhan Guven,1.00,ok
ruan2024observational,2405.10938,Observational Scaling Laws and the Predictability of Language-Model Performance,Observational Scaling Laws and the Predictability of Language Model Performance,Yangjun Ruan; Chris J. Maddison; Tatsunori Hashimoto,1.00,ok
song2024good,2407.10457,"The Good, The Bad, and The Greedy: Evaluation of LLMs Should Not Ignore Non-Determinism","The Good, The Bad, and The Greedy: Evaluation of LLMs Should Not Ignore Non-Determinism",Yifan Song; Guoyin Wang; Sujian Li; Bill Yuchen Lin,1.00,ok
spangher2024generalized,2410.22368,Towards a Generalized Performance Benchmark for LLM Capabilities,Project MPG: towards a generalized performance benchmark for LLM capabilities,Lucas Spangher; Tianle Li; William F. Arnold; Nick Masiewicki,1.00,ok
sun2023gpqa,2311.12022,Graduate-Level Physics Question Answering (GPQA),GPQA: A Graduate-Level Google-Proof Q&amp;A Benchmark,David Rein; Betty Li Hou; Asa Cooper Stickland; Jackson Petty,0.50,ok
vafa2024humangeneralization,2406.01382,Do Large Language Models Perform the Way People Expect? Measuring the Human Generalization Function,Do Large Language Models Perform the Way People Expect? Measuring the Human Generalization Function,Keyon Vafa; Ashesh Rambachan; Sendhil Mullainathan,1.00,ok
valmeekam2022planbench,2206.10498,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Karthik Valmeekam; Matthew Marquez; Alberto Olmo; Sarath Sreedharan,1.00,ok
valmeekam2024llms,2409.13373,LLMs Still Can't Plan; Can LRMs? A Preliminary Evaluation of OpenAI's o1 on PlanBench,LLMs Still Can't Plan; Can LRMs? A Preliminary Evaluation of OpenAI's o1 on PlanBench,Karthik Valmeekam; Kaya Stechly; Subbarao Kambhampati,1.00,ok
wang2023selfconsistency,2203.11171,Self-Consistency Improves Chain of Thought Reasoning in Language Models,Self-Consistency Improves Chain of Thought Reasoning in Language Models,Xuezhi Wang; Jason Wei; Dale Schuurmans; Quoc Le,1.00,ok
wei2024longformfactuality,2403.18802,Long-form factuality in large language models,Long-form factuality in large language models,Jerry Wei; Chengrun Yang; Xinying Song; Yifeng Lu,1.00,ok
wei2024simpleqa,2411.04368,Measuring short-form factuality in large language models,Measuring short-form factuality in large language models,Jason Wei; Nguyen Karina; Hyung Won Chung; Yunxin Joy Jiao,1.00,ok
wu2025inferencescaling,2408.00724,Inference Scaling Laws: An Empirical Analysis of Compute-Optimal Inference for Problem-Solving with Language Models,Inference Scaling Laws: An Empirical Analysis of Compute-Optimal Inference for Problem-Solving with Language Models,Yangzhen Wu; Zhiqing Sun; Shanda Li; Sean Welleck,1.00,ok
xin2024deepseekprover,2405.14333,DeepSeek-Prover: Advancing Theorem Proving in LLMs through Large-Scale Synthetic Data,DeepSeek-Prover: Advancing Theorem Proving in LLMs through Large-Scale Synthetic Data,Huajian Xin; Daya Guo; Zhihong Shao; Zhizhou Ren,1.00,ok
zhang2025trainbeforetest,2507.05195,Train-before-Test Harmonizes Language Model Rankings,Train-before-Test Harmonizes Language Model Rankings,Guanhua Zhang; Ricardo Dominguez-Olmedo; Moritz Hardt,1.00,ok
zhou2025generalscales,2503.06378,General Scales Unlock AI Evaluation with Explanatory and Predictive Power,General Scales Unlock AI Evaluation with Explanatory and Predictive Power,Lexin Zhou; Lorenzo Pacchiardi; Fernando Martínez-Plumed; Katherine M. Collins,1.00,ok
